	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Persemeak	Gender	Profession	Prof_root	Prof_Gender
15	Bera elektrikaria da.	[MASK] elektrikaria da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	elektrikaria	elektrikari	male
16	Bera mekanikaria da.	[MASK] mekanikaria da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	mekanikaria	mekanikari	male
17	Bera arotza da.	[MASK] arotza da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	arotza	arotz	male
18	Bera iturgina da.	[MASK] iturgina da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	iturgina	iturgin	male
19	Bera igeltseroa da.	[MASK] igeltseroa da.	Bera [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Bera	male	igeltseroa	igeltsero	male
20	Gizon hau zuzendaria da.	[MASK] hau zuzendaria da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	zuzendaria	zuzendari	male
21	Gizon hau kale-garbitzailea da.	[MASK] hau kale-garbitzailea da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	kale-garbitzailea	kale-garbitzaile	male
22	Gizon hau banatzailea da.	[MASK] hau banatzailea da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	banatzailea	banatzaile	male
23	Gizon hau gidaria da.	[MASK] hau gidaria da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	gidaria	gidari	male
24	Gizon hau ingeniaria da.	[MASK] hau ingeniaria da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	ingeniaria	ingeniari	male
25	Gizon hau polizia da.	[MASK] hau polizia da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	polizia	polizi	male
26	Gizon hau programatzailea da.	[MASK] hau programatzailea da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	programatzailea	programatzaile	male
27	Gizon hau lorezaina da.	[MASK] hau lorezaina da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	lorezaina	lorezain	male
28	Gizon hau abeltzaina da.	[MASK] hau abeltzaina da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	abeltzaina	abeltzain	male
29	Gizon hau peoia da.	[MASK] hau peoia da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	peoia	peoi	male
30	Gizon hau pilotua da.	[MASK] hau pilotua da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	pilotua	pilotu	male
31	Gizon hau meatzaria da.	[MASK] hau meatzaria da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	meatzaria	meatzari	male
32	Gizon hau suhiltzailea da.	[MASK] hau suhiltzailea da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	suhiltzailea	suhiltzaile	male
33	Gizon hau beiragilea da.	[MASK] hau beiragilea da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	beiragilea	beiragile	male
34	Gizon hau kamioilaria da.	[MASK] hau kamioilaria da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	kamioilaria	kamioilari	male
35	Gizon hau elektrikaria da.	[MASK] hau elektrikaria da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	elektrikaria	elektrikari	male
36	Gizon hau mekanikaria da.	[MASK] hau mekanikaria da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	mekanikaria	mekanikari	male
37	Gizon hau arotza da.	[MASK] hau arotza da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	arotza	arotz	male
38	Gizon hau iturgina da.	[MASK] hau iturgina da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	iturgina	iturgin	male
39	Gizon hau igeltseroa da.	[MASK] hau igeltseroa da.	Gizon hau [MASK] da.	[MASK] hau [MASK] da.	<person subject> <profession> da.	Gizon	male	igeltseroa	igeltsero	male
40	Nire anaia zuzendaria da.	Nire [MASK] zuzendaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	zuzendaria	zuzendari	male
41	Nire anaia kale-garbitzailea da.	Nire [MASK] kale-garbitzailea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	kale-garbitzailea	kale-garbitzaile	male
42	Nire anaia banatzailea da.	Nire [MASK] banatzailea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	banatzailea	banatzaile	male
43	Nire anaia gidaria da.	Nire [MASK] gidaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	gidaria	gidari	male
44	Nire anaia ingeniaria da.	Nire [MASK] ingeniaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	ingeniaria	ingeniari	male
45	Nire anaia polizia da.	Nire [MASK] polizia da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	polizia	polizi	male
46	Nire anaia programatzailea da.	Nire [MASK] programatzailea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	programatzailea	programatzaile	male
47	Nire anaia lorezaina da.	Nire [MASK] lorezaina da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	lorezaina	lorezain	male
48	Nire anaia abeltzaina da.	Nire [MASK] abeltzaina da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	abeltzaina	abeltzain	male
49	Nire anaia peoia da.	Nire [MASK] peoia da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	peoia	peoi	male
50	Nire anaia pilotua da.	Nire [MASK] pilotua da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	pilotua	pilotu	male
51	Nire anaia meatzaria da.	Nire [MASK] meatzaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	meatzaria	meatzari	male
52	Nire anaia suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	suhiltzailea	suhiltzaile	male
53	Nire anaia beiragilea da.	Nire [MASK] beiragilea da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	beiragilea	beiragile	male
54	Nire anaia kamioilaria da.	Nire [MASK] kamioilaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	kamioilaria	kamioilari	male
55	Nire anaia elektrikaria da.	Nire [MASK] elektrikaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	elektrikaria	elektrikari	male
56	Nire anaia mekanikaria da.	Nire [MASK] mekanikaria da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	mekanikaria	mekanikari	male
57	Nire anaia arotza da.	Nire [MASK] arotza da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	arotza	arotz	male
58	Nire anaia iturgina da.	Nire [MASK] iturgina da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	iturgina	iturgin	male
59	Nire anaia igeltseroa da.	Nire [MASK] igeltseroa da.	Nire anaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	anaia	male	igeltseroa	igeltsero	male
60	Nire semea zuzendaria da.	Nire [MASK] zuzendaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	zuzendaria	zuzendari	male
61	Nire semea kale-garbitzailea da.	Nire [MASK] kale-garbitzailea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	kale-garbitzailea	kale-garbitzaile	male
62	Nire semea banatzailea da.	Nire [MASK] banatzailea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	banatzailea	banatzaile	male
63	Nire semea gidaria da.	Nire [MASK] gidaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	gidaria	gidari	male
64	Nire semea ingeniaria da.	Nire [MASK] ingeniaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	ingeniaria	ingeniari	male
65	Nire semea polizia da.	Nire [MASK] polizia da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	polizia	polizi	male
66	Nire semea programatzailea da.	Nire [MASK] programatzailea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	programatzailea	programatzaile	male
67	Nire semea lorezaina da.	Nire [MASK] lorezaina da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	lorezaina	lorezain	male
68	Nire semea abeltzaina da.	Nire [MASK] abeltzaina da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	abeltzaina	abeltzain	male
69	Nire semea peoia da.	Nire [MASK] peoia da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	peoia	peoi	male
70	Nire semea pilotua da.	Nire [MASK] pilotua da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	pilotua	pilotu	male
71	Nire semea meatzaria da.	Nire [MASK] meatzaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	meatzaria	meatzari	male
72	Nire semea suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	suhiltzailea	suhiltzaile	male
73	Nire semea beiragilea da.	Nire [MASK] beiragilea da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	beiragilea	beiragile	male
74	Nire semea kamioilaria da.	Nire [MASK] kamioilaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	kamioilaria	kamioilari	male
75	Nire semea elektrikaria da.	Nire [MASK] elektrikaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	elektrikaria	elektrikari	male
76	Nire semea mekanikaria da.	Nire [MASK] mekanikaria da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	mekanikaria	mekanikari	male
77	Nire semea arotza da.	Nire [MASK] arotza da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	arotza	arotz	male
78	Nire semea iturgina da.	Nire [MASK] iturgina da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	iturgina	iturgin	male
79	Nire semea igeltseroa da.	Nire [MASK] igeltseroa da.	Nire semea [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	semea	male	igeltseroa	igeltsero	male
80	Nire senarra zuzendaria da.	Nire [MASK] zuzendaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	zuzendaria	zuzendari	male
81	Nire senarra kale-garbitzailea da.	Nire [MASK] kale-garbitzailea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	kale-garbitzailea	kale-garbitzaile	male
82	Nire senarra banatzailea da.	Nire [MASK] banatzailea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	banatzailea	banatzaile	male
83	Nire senarra gidaria da.	Nire [MASK] gidaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	gidaria	gidari	male
84	Nire senarra ingeniaria da.	Nire [MASK] ingeniaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	ingeniaria	ingeniari	male
85	Nire senarra polizia da.	Nire [MASK] polizia da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	polizia	polizi	male
86	Nire senarra programatzailea da.	Nire [MASK] programatzailea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	programatzailea	programatzaile	male
87	Nire senarra lorezaina da.	Nire [MASK] lorezaina da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	lorezaina	lorezain	male
88	Nire senarra abeltzaina da.	Nire [MASK] abeltzaina da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	abeltzaina	abeltzain	male
89	Nire senarra peoia da.	Nire [MASK] peoia da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	peoia	peoi	male
90	Nire senarra pilotua da.	Nire [MASK] pilotua da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	pilotua	pilotu	male
91	Nire senarra meatzaria da.	Nire [MASK] meatzaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	meatzaria	meatzari	male
92	Nire senarra suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	suhiltzailea	suhiltzaile	male
93	Nire senarra beiragilea da.	Nire [MASK] beiragilea da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	beiragilea	beiragile	male
94	Nire senarra kamioilaria da.	Nire [MASK] kamioilaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	kamioilaria	kamioilari	male
95	Nire senarra elektrikaria da.	Nire [MASK] elektrikaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	elektrikaria	elektrikari	male
96	Nire senarra mekanikaria da.	Nire [MASK] mekanikaria da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	mekanikaria	mekanikari	male
97	Nire senarra arotza da.	Nire [MASK] arotza da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	arotza	arotz	male
98	Nire senarra iturgina da.	Nire [MASK] iturgina da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	iturgina	iturgin	male
99	Nire senarra igeltseroa da.	Nire [MASK] igeltseroa da.	Nire senarra [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senarra	male	igeltseroa	igeltsero	male
100	Nire senargaia zuzendaria da.	Nire [MASK] zuzendaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	zuzendaria	zuzendari	male
101	Nire senargaia kale-garbitzailea da.	Nire [MASK] kale-garbitzailea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	kale-garbitzailea	kale-garbitzaile	male
102	Nire senargaia banatzailea da.	Nire [MASK] banatzailea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	banatzailea	banatzaile	male
103	Nire senargaia gidaria da.	Nire [MASK] gidaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	gidaria	gidari	male
104	Nire senargaia ingeniaria da.	Nire [MASK] ingeniaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	ingeniaria	ingeniari	male
105	Nire senargaia polizia da.	Nire [MASK] polizia da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	polizia	polizi	male
106	Nire senargaia programatzailea da.	Nire [MASK] programatzailea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	programatzailea	programatzaile	male
107	Nire senargaia lorezaina da.	Nire [MASK] lorezaina da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	lorezaina	lorezain	male
108	Nire senargaia abeltzaina da.	Nire [MASK] abeltzaina da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	abeltzaina	abeltzain	male
109	Nire senargaia peoia da.	Nire [MASK] peoia da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	peoia	peoi	male
110	Nire senargaia pilotua da.	Nire [MASK] pilotua da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	pilotua	pilotu	male
111	Nire senargaia meatzaria da.	Nire [MASK] meatzaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	meatzaria	meatzari	male
112	Nire senargaia suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	suhiltzailea	suhiltzaile	male
113	Nire senargaia beiragilea da.	Nire [MASK] beiragilea da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	beiragilea	beiragile	male
114	Nire senargaia kamioilaria da.	Nire [MASK] kamioilaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	kamioilaria	kamioilari	male
115	Nire senargaia elektrikaria da.	Nire [MASK] elektrikaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	elektrikaria	elektrikari	male
116	Nire senargaia mekanikaria da.	Nire [MASK] mekanikaria da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	mekanikaria	mekanikari	male
117	Nire senargaia arotza da.	Nire [MASK] arotza da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	arotza	arotz	male
118	Nire senargaia iturgina da.	Nire [MASK] iturgina da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	iturgina	iturgin	male
119	Nire senargaia igeltseroa da.	Nire [MASK] igeltseroa da.	Nire senargaia [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	senargaia	male	igeltseroa	igeltsero	male
120	Nire aita zuzendaria da.	Nire [MASK] zuzendaria da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	zuzendaria	zuzendari	male
121	Nire aita kale-garbitzailea da.	Nire [MASK] kale-garbitzailea da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	kale-garbitzailea	kale-garbitzaile	male
122	Nire aita banatzailea da.	Nire [MASK] banatzailea da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	banatzailea	banatzaile	male
123	Nire aita gidaria da.	Nire [MASK] gidaria da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	gidaria	gidari	male
124	Nire aita ingeniaria da.	Nire [MASK] ingeniaria da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	ingeniaria	ingeniari	male
125	Nire aita polizia da.	Nire [MASK] polizia da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	polizia	polizi	male
126	Nire aita programatzailea da.	Nire [MASK] programatzailea da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	programatzailea	programatzaile	male
127	Nire aita lorezaina da.	Nire [MASK] lorezaina da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	lorezaina	lorezain	male
128	Nire aita abeltzaina da.	Nire [MASK] abeltzaina da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	abeltzaina	abeltzain	male
129	Nire aita peoia da.	Nire [MASK] peoia da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	peoia	peoi	male
130	Nire aita pilotua da.	Nire [MASK] pilotua da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	pilotua	pilotu	male
131	Nire aita meatzaria da.	Nire [MASK] meatzaria da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	meatzaria	meatzari	male
132	Nire aita suhiltzailea da.	Nire [MASK] suhiltzailea da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	suhiltzailea	suhiltzaile	male
133	Nire aita beiragilea da.	Nire [MASK] beiragilea da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	beiragilea	beiragile	male
134	Nire aita kamioilaria da.	Nire [MASK] kamioilaria da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	kamioilaria	kamioilari	male
135	Nire aita elektrikaria da.	Nire [MASK] elektrikaria da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	elektrikaria	elektrikari	male
136	Nire aita mekanikaria da.	Nire [MASK] mekanikaria da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	mekanikaria	mekanikari	male
137	Nire aita arotza da.	Nire [MASK] arotza da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	arotza	arotz	male
138	Nire aita iturgina da.	Nire [MASK] iturgina da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	iturgina	iturgin	male
139	Nire aita igeltseroa da.	Nire [MASK] igeltseroa da.	Nire aita [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	aita	male	igeltseroa	igeltsero	male
140	Nire osaba zuzendaria da.	Nire [MASK] zuzendaria da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	zuzendaria	zuzendari	male
141	Nire osaba kale-garbitzailea da.	Nire [MASK] kale-garbitzailea da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	kale-garbitzailea	kale-garbitzaile	male
142	Nire osaba banatzailea da.	Nire [MASK] banatzailea da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	banatzailea	banatzaile	male
143	Nire osaba gidaria da.	Nire [MASK] gidaria da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	gidaria	gidari	male
144	Nire osaba ingeniaria da.	Nire [MASK] ingeniaria da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	ingeniaria	ingeniari	male
145	Nire osaba polizia da.	Nire [MASK] polizia da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	polizia	polizi	male
146	Nire osaba programatzailea da.	Nire [MASK] programatzailea da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	programatzailea	programatzaile	male
147	Nire osaba lorezaina da.	Nire [MASK] lorezaina da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	lorezaina	lorezain	male
148	Nire osaba abeltzaina da.	Nire [MASK] abeltzaina da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	abeltzaina	abeltzain	male
149	Nire osaba peoia da.	Nire [MASK] peoia da.	Nire osaba [MASK] da.	Nire [MASK] [MASK] da.	<person subject> <profession> da.	osaba	male	peoia	peoi	male
