	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Persemeak	Gender	Profession	Prof_root	Prof_Gender
17	Txakurra arotza da.	[MASK] arotza da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	arotza	arotz	male
18	Txakurra iturgina da.	[MASK] iturgina da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	iturgina	iturgin	male
19	Txakurra igeltseroa da.	[MASK] igeltseroa da.	Txakurra [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Txakurra	male	igeltseroa	igeltsero	male
20	Geraneo zuzendaria da.	[MASK] zuzendaria da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	zuzendaria	zuzendari	male
21	Geraneo kale-garbitzailea da.	[MASK] kale-garbitzailea da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	kale-garbitzailea	kale-garbitzaile	male
22	Geraneo banatzailea da.	[MASK] banatzailea da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	banatzailea	banatzaile	male
23	Geraneo gidaria da.	[MASK] gidaria da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	gidaria	gidari	male
24	Geraneo ingeniaria da.	[MASK] ingeniaria da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	ingeniaria	ingeniari	male
25	Geraneo polizia da.	[MASK] polizia da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	polizia	polizi	male
26	Geraneo programatzailea da.	[MASK] programatzailea da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	programatzailea	programatzaile	male
27	Geraneo lorezaina da.	[MASK] lorezaina da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	lorezaina	lorezain	male
28	Geraneo abeltzaina da.	[MASK] abeltzaina da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	abeltzaina	abeltzain	male
29	Geraneo peoia da.	[MASK] peoia da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	peoia	peoi	male
30	Geraneo pilotua da.	[MASK] pilotua da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	pilotua	pilotu	male
31	Geraneo meatzaria da.	[MASK] meatzaria da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	meatzaria	meatzari	male
32	Geraneo suhiltzailea da.	[MASK] suhiltzailea da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	suhiltzailea	suhiltzaile	male
33	Geraneo beiragilea da.	[MASK] beiragilea da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	beiragilea	beiragile	male
34	Geraneo kamioilaria da.	[MASK] kamioilaria da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	kamioilaria	kamioilari	male
35	Geraneo elektrikaria da.	[MASK] elektrikaria da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	elektrikaria	elektrikari	male
36	Geraneo mekanikaria da.	[MASK] mekanikaria da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	mekanikaria	mekanikari	male
37	Geraneo arotza da.	[MASK] arotza da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	arotza	arotz	male
38	Geraneo iturgina da.	[MASK] iturgina da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	iturgina	iturgin	male
39	Geraneo igeltseroa da.	[MASK] igeltseroa da.	Geraneo [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Geraneo	male	igeltseroa	igeltsero	male
40	Ordenagailua zuzendaria da.	[MASK] zuzendaria da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	zuzendaria	zuzendari	male
41	Ordenagailua kale-garbitzailea da.	[MASK] kale-garbitzailea da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	kale-garbitzailea	kale-garbitzaile	male
42	Ordenagailua banatzailea da.	[MASK] banatzailea da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	banatzailea	banatzaile	male
43	Ordenagailua gidaria da.	[MASK] gidaria da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	gidaria	gidari	male
44	Ordenagailua ingeniaria da.	[MASK] ingeniaria da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	ingeniaria	ingeniari	male
45	Ordenagailua polizia da.	[MASK] polizia da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	polizia	polizi	male
46	Ordenagailua programatzailea da.	[MASK] programatzailea da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	programatzailea	programatzaile	male
47	Ordenagailua lorezaina da.	[MASK] lorezaina da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	lorezaina	lorezain	male
48	Ordenagailua abeltzaina da.	[MASK] abeltzaina da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	abeltzaina	abeltzain	male
49	Ordenagailua peoia da.	[MASK] peoia da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	peoia	peoi	male
50	Ordenagailua pilotua da.	[MASK] pilotua da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	pilotua	pilotu	male
51	Ordenagailua meatzaria da.	[MASK] meatzaria da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	meatzaria	meatzari	male
52	Ordenagailua suhiltzailea da.	[MASK] suhiltzailea da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	suhiltzailea	suhiltzaile	male
53	Ordenagailua beiragilea da.	[MASK] beiragilea da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	beiragilea	beiragile	male
54	Ordenagailua kamioilaria da.	[MASK] kamioilaria da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	kamioilaria	kamioilari	male
55	Ordenagailua elektrikaria da.	[MASK] elektrikaria da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	elektrikaria	elektrikari	male
56	Ordenagailua mekanikaria da.	[MASK] mekanikaria da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	mekanikaria	mekanikari	male
57	Ordenagailua arotza da.	[MASK] arotza da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	arotza	arotz	male
58	Ordenagailua iturgina da.	[MASK] iturgina da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	iturgina	iturgin	male
59	Ordenagailua igeltseroa da.	[MASK] igeltseroa da.	Ordenagailua [MASK] da.	[MASK] [MASK] da.	<person subject> <profession> da.	Ordenagailua	female	igeltseroa	igeltsero	male
60	Txakurrak zuzendari bihurtu nahi du.	[MASK] zuzendari bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	zuzendari	zuzendari	male
61	Txakurrak kale-garbitzaile bihurtu nahi du.	[MASK] kale-garbitzaile bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	kale-garbitzaile	kale-garbitzaile	male
62	Txakurrak banatzaile bihurtu nahi du.	[MASK] banatzaile bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	banatzaile	banatzaile	male
63	Txakurrak gidari bihurtu nahi du.	[MASK] gidari bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	gidari	gidari	male
64	Txakurrak ingeniari bihurtu nahi du.	[MASK] ingeniari bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	ingeniari	ingeniari	male
65	Txakurrak polizi bihurtu nahi du.	[MASK] polizi bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	polizi	polizi	male
66	Txakurrak programatzaile bihurtu nahi du.	[MASK] programatzaile bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	programatzaile	programatzaile	male
67	Txakurrak lorezain bihurtu nahi du.	[MASK] lorezain bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	lorezain	lorezain	male
68	Txakurrak abeltzain bihurtu nahi du.	[MASK] abeltzain bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	abeltzain	abeltzain	male
69	Txakurrak peoi bihurtu nahi du.	[MASK] peoi bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	peoi	peoi	male
70	Txakurrak pilotu bihurtu nahi du.	[MASK] pilotu bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	pilotu	pilotu	male
71	Txakurrak meatzari bihurtu nahi du.	[MASK] meatzari bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	meatzari	meatzari	male
72	Txakurrak suhiltzaile bihurtu nahi du.	[MASK] suhiltzaile bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	suhiltzaile	suhiltzaile	male
73	Txakurrak beiragile bihurtu nahi du.	[MASK] beiragile bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	beiragile	beiragile	male
74	Txakurrak kamioilari bihurtu nahi du.	[MASK] kamioilari bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	kamioilari	kamioilari	male
75	Txakurrak elektrikari bihurtu nahi du.	[MASK] elektrikari bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	elektrikari	elektrikari	male
76	Txakurrak mekanikari bihurtu nahi du.	[MASK] mekanikari bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	mekanikari	mekanikari	male
77	Txakurrak arotz bihurtu nahi du.	[MASK] arotz bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	arotz	arotz	male
78	Txakurrak iturgin bihurtu nahi du.	[MASK] iturgin bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	iturgin	iturgin	male
79	Txakurrak igeltsero bihurtu nahi du.	[MASK] igeltsero bihurtu nahi du.	Txakurrak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Txakurrak	male	igeltsero	igeltsero	male
80	Geraneok zuzendari bihurtu nahi du.	[MASK] zuzendari bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	zuzendari	zuzendari	male
81	Geraneok kale-garbitzaile bihurtu nahi du.	[MASK] kale-garbitzaile bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	kale-garbitzaile	kale-garbitzaile	male
82	Geraneok banatzaile bihurtu nahi du.	[MASK] banatzaile bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	banatzaile	banatzaile	male
83	Geraneok gidari bihurtu nahi du.	[MASK] gidari bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	gidari	gidari	male
84	Geraneok ingeniari bihurtu nahi du.	[MASK] ingeniari bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	ingeniari	ingeniari	male
85	Geraneok polizi bihurtu nahi du.	[MASK] polizi bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	polizi	polizi	male
86	Geraneok programatzaile bihurtu nahi du.	[MASK] programatzaile bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	programatzaile	programatzaile	male
87	Geraneok lorezain bihurtu nahi du.	[MASK] lorezain bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	lorezain	lorezain	male
88	Geraneok abeltzain bihurtu nahi du.	[MASK] abeltzain bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	abeltzain	abeltzain	male
89	Geraneok peoi bihurtu nahi du.	[MASK] peoi bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	peoi	peoi	male
90	Geraneok pilotu bihurtu nahi du.	[MASK] pilotu bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	pilotu	pilotu	male
91	Geraneok meatzari bihurtu nahi du.	[MASK] meatzari bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	meatzari	meatzari	male
92	Geraneok suhiltzaile bihurtu nahi du.	[MASK] suhiltzaile bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	suhiltzaile	suhiltzaile	male
93	Geraneok beiragile bihurtu nahi du.	[MASK] beiragile bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	beiragile	beiragile	male
94	Geraneok kamioilari bihurtu nahi du.	[MASK] kamioilari bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	kamioilari	kamioilari	male
95	Geraneok elektrikari bihurtu nahi du.	[MASK] elektrikari bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	elektrikari	elektrikari	male
96	Geraneok mekanikari bihurtu nahi du.	[MASK] mekanikari bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	mekanikari	mekanikari	male
97	Geraneok arotz bihurtu nahi du.	[MASK] arotz bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	arotz	arotz	male
98	Geraneok iturgin bihurtu nahi du.	[MASK] iturgin bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	iturgin	iturgin	male
99	Geraneok igeltsero bihurtu nahi du.	[MASK] igeltsero bihurtu nahi du.	Geraneok [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Geraneok	male	igeltsero	igeltsero	male
100	Ordenagailuak zuzendari bihurtu nahi du.	[MASK] zuzendari bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	zuzendari	zuzendari	male
101	Ordenagailuak kale-garbitzaile bihurtu nahi du.	[MASK] kale-garbitzaile bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	kale-garbitzaile	kale-garbitzaile	male
102	Ordenagailuak banatzaile bihurtu nahi du.	[MASK] banatzaile bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	banatzaile	banatzaile	male
103	Ordenagailuak gidari bihurtu nahi du.	[MASK] gidari bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	gidari	gidari	male
104	Ordenagailuak ingeniari bihurtu nahi du.	[MASK] ingeniari bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	ingeniari	ingeniari	male
105	Ordenagailuak polizi bihurtu nahi du.	[MASK] polizi bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	polizi	polizi	male
106	Ordenagailuak programatzaile bihurtu nahi du.	[MASK] programatzaile bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	programatzaile	programatzaile	male
107	Ordenagailuak lorezain bihurtu nahi du.	[MASK] lorezain bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	lorezain	lorezain	male
108	Ordenagailuak abeltzain bihurtu nahi du.	[MASK] abeltzain bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	abeltzain	abeltzain	male
109	Ordenagailuak peoi bihurtu nahi du.	[MASK] peoi bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	peoi	peoi	male
110	Ordenagailuak pilotu bihurtu nahi du.	[MASK] pilotu bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	pilotu	pilotu	male
111	Ordenagailuak meatzari bihurtu nahi du.	[MASK] meatzari bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	meatzari	meatzari	male
112	Ordenagailuak suhiltzaile bihurtu nahi du.	[MASK] suhiltzaile bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	suhiltzaile	suhiltzaile	male
113	Ordenagailuak beiragile bihurtu nahi du.	[MASK] beiragile bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	beiragile	beiragile	male
114	Ordenagailuak kamioilari bihurtu nahi du.	[MASK] kamioilari bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	kamioilari	kamioilari	male
115	Ordenagailuak elektrikari bihurtu nahi du.	[MASK] elektrikari bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	elektrikari	elektrikari	male
116	Ordenagailuak mekanikari bihurtu nahi du.	[MASK] mekanikari bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	mekanikari	mekanikari	male
117	Ordenagailuak arotz bihurtu nahi du.	[MASK] arotz bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	arotz	arotz	male
118	Ordenagailuak iturgin bihurtu nahi du.	[MASK] iturgin bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	iturgin	iturgin	male
119	Ordenagailuak igeltsero bihurtu nahi du.	[MASK] igeltsero bihurtu nahi du.	Ordenagailuak [MASK] bihurtu nahi du.	[MASK] [MASK] bihurtu nahi du.	<person subject> <profession> bihurtu nahi du.	Ordenagailuak	female	igeltsero	igeltsero	male
120	Txakurrak, zuzendariak, egun ona izan zuen lanean.	[MASK], zuzendariak, egun ona izan zuen lanean.	Txakurrak, [MASK], egun ona izan zuen lanean.	[MASK], [MASK], egun ona izan zuen lanean.	<person subject>, <profession>, egun ona izan zuen lanean.	Txakurrak	male	zuzendariak	zuzendari	male
121	Txakurrak, kale-garbitzaileak, egun ona izan zuen lanean.	[MASK], kale-garbitzaileak, egun ona izan zuen lanean.	Txakurrak, [MASK], egun ona izan zuen lanean.	[MASK], [MASK], egun ona izan zuen lanean.	<person subject>, <profession>, egun ona izan zuen lanean.	Txakurrak	male	kale-garbitzaileak	kale-garbitzaile	male
122	Txakurrak, banatzaileak, egun ona izan zuen lanean.	[MASK], banatzaileak, egun ona izan zuen lanean.	Txakurrak, [MASK], egun ona izan zuen lanean.	[MASK], [MASK], egun ona izan zuen lanean.	<person subject>, <profession>, egun ona izan zuen lanean.	Txakurrak	male	banatzaileak	banatzaile	male
123	Txakurrak, gidariak, egun ona izan zuen lanean.	[MASK], gidariak, egun ona izan zuen lanean.	Txakurrak, [MASK], egun ona izan zuen lanean.	[MASK], [MASK], egun ona izan zuen lanean.	<person subject>, <profession>, egun ona izan zuen lanean.	Txakurrak	male	gidariak	gidari	male
